,,,,,,
Description,Parent Topic,HOCS Team name,HOCS Team name in full,HOCS Unit Name,HOCS Unit name in full,Howard - 18 Oct
"Drunkeness and Enforcement - Drinking Banning Orders, Designated Public Place Orders(DPPOs) , Under-Age Drinking , Binge Drinking , Sales to under 18s, Proof of Age Standard Scheme (PASS), Sobriety",Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Licensing Act 2003 locally-set fees: post consultation,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Premises Licence Applications,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Khat policy,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Government’s decision to control khat: opposed views/critics,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Government’s decision to control khat: supportive views,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Local Alcohol Action Areas,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
"Alcohol Pricing - Multi buys, Below Cost Sells and Minimum unit pricing",Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Specific legal problems,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Mandatory Code of Practice for alcohol retailers,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Late Night Levy (LNL) and Early Morning Restriction Orders (EMROs),Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Plastic Bottles and Glasses,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Drugs and the law web pages,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Misuse of Drugs Act 1971 - Drug prohibition policy,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Classification of drugs under the Misuse of Drugs Act 1971,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Cannabis for medicinal use - Sativex and Schengen comparisons,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Legalisation of drugs,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
"Domestic licences to produce, supply and possess drugs",Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Drug laws - enforcement and police operations,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Reducing drug demand: prevention and education strategy,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Government's Drug Strategy,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Drug treatment strategy and recovery agenda,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Classification of cannabis,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Decriminalisation of possession to reduce harm,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Misuse of Drugs Regulations 2001: prescribing of controlled drugs,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Reference requests,Miscellaneous ,DCU CDT,Direct Communications Unit Central Drafting Team,DCU,Direct Communications Unit,Change
Operational policing,Miscellaneous ,DCU CDT,Direct Communications Unit Central Drafting Team,DCU,Direct Communications Unit,Change
Burka cases (where DCMS rejects),Miscellaneous ,DCU CDT,Direct Communications Unit Central Drafting Team,DCU,Direct Communications Unit,Change
Investigatory Powers Act - Wilson Doctrine,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Investigatory Powers Act - Internet Connection Records (Weblogs),Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Investigatory Powers Act - Hacking,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Investigatory Powers Act - Bulk data / bulk powers / bulk personal datasets,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Investigatory Powers Act - Equipment interference,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Investigatory Powers Act - Computer network exploitation,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Investigatory Powers Act - Surveillance,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Investigatory Powers Act - Encryption,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Investigatory Powers Act - general queries,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Investigatory Powers Act - safeguards,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Investigatory Powers Act 2016,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
IP Bill – Press Freedom,Investigatory Powers ,CTLIPU,Counter-Terrorism Legislation and Investigatory Powers Unit,OSCT,Office for Security and Counter Terrorism,Change
Transfer issue - Cabinet Office (CO),Transfers to OGD ,CO (OGD),Cabinet Office,Other Government Department,,Change
Transfer issue - Crown Prosecution Service (CPS),Transfers to OGD ,CPS (OGD),Crown Prosecution Service (CPS),Other Government Department,,Change
"Transfer issue - Department of Agriculture and Rural Development, Northern Ireland (DARDNI)",Transfers to OGD ,DARDNI (OGD),"Department of Agriculture and Rural Development, Northern Ireland (DARDNI)",Other Government Department,,Change
"Transfer issue - Department of Enviroment, Food and Rural Affairs (DEFRA)",Transfers to OGD ,DEFRA (OGD),"Department of Enviroment, Food and Rural Affairs",Other Government Department,,Change
Transfer issue - Department for Transport (DfT),Transfers to OGD ,DfT (OGD),Department for Transport,Other Government Department,,Change
Centre for Applied Science and Technology matters,Capabilities and Resources ,CAST,Centre for Applied Science and Technology,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Transfer issue - Charity Commission (CC),Transfers to OGD ,CC (OGD),Charity Commission,Other Government Department,,
An internal review of the funding of Islamist extremism in the UK,Counter Extremism,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Commission for Countering Extremism,Counter Extremism,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Sharia,Counter Extremism  ,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
"Hate Crime: hatred on the grounds of disability, race, religion/belief, sexual orientation, transgender or appearance and age.",Counter Extremism,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Hate crime: anti-Semitism,Crime - Hate ,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
"Hate Crime: Hate Crime: hatred on the grounds of disability, race, religion/belief, sexual orientation and transgendered on the grounds of disability, race, religion/belief, sexual orientation and transgender or appearance and age.",Crime - Hate ,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Disability hate crime - Fiona Pilkington case,Counter Extremism,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Internet hate crime,Crime - Hate ,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Shomrim – Anti-semitism,Counter Extremism,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Home Secretary’s statement about anti-Muslim hate crime data and the rights of Christians,Counter Extremism,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Sharia Law Review,Counter Extremism,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Hate crime - post EU referendum result,Crime - Hate ,CEU,Counter Extremism Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
